NO ,RUTE / TRAYEK ,RUTE YANG DILEWATI (TITIK KEBERANGKATAN - PERJALANAN - TITIK DROP),TARIF BARU ,MENUJU BANDARA (WIB),DARI BANDARA (WIB) ,INTERVAL WAKTU (MENIT)
34,Mataram - Moyo,Mataram - Kopang - Mantang - Masbagik - Aikmel - Pelabuhan Kayangan - Pelabuhan Poto tano - Alas - Utan ree - Sumbawa besar - Moyo hilir - Labuan Ijuk,Rp135.000,07.00 WITA,,240 KM
35,Mataram - Leweng,Mataram - Kopang - Mantang - Masbagik - Aikmel - Pelabuhan Kayangan - Pelabuhan Poto tano - Alas - Utan ree - Sumbawa besar - Lape - Langam - Leweng,Rp120.000,06.30 WITA,,200 KM
36,Mataram - Mata,Mataram - Kopang - Mantang - Masbagik - Aikmel - Pelabuhan Kayangan - Pelabuhan Poto tano - Alas - Utan ree - Sumbawa besar - Lape - Langam - Plampang - Empang - Kwangko - Tolo'oi - Mata,Rp180.000,06.30 WITA,,360 KM
37,,,,06.00 WITA,,
38,Terminal Mandalika - Sumbawa - Matta,,,06.15 WITA,,
39,,Berangkat : Bandara sultan Hasanuddin - Jl.Perintis - Urip Sumaharjo - Jln Bawakaraeng - Jln Kartini - Jln Botolempangan - Jln Arifrate - Jln Hj Bau - Halte Pualam ( Pantai losari),,05.45 WITA,06.30-17.00,1 Jam
40,Terminal Mandalika - Praya - Taliwang - Talonang,,,06.00 WITA,,
41,,Pulang : Halte Pualam ( Pantai Losari ) - Jln Nusantara - Tol Insinyur Utami - Bandara Sultan Hasanuddin,,,,
42,,,,,,
43,,,,,,
